,year,Q,DBO gross,earnings,zDBO,zEarnings
0,2014.0,1.0,2399896607.0,-4508000.0,0.13866093387209738,0.5217510456924179
1,2014.0,2.0,2836836996.0,31393000.0,0.6000315852251978,0.6599079802447613
2,2014.0,3.0,2504769341.0,7376000.0,0.2493973244939321,0.5674839503530137
3,2014.0,4.0,2627358905.0,29819000.0,0.3788411305957585,0.6538507947907239
4,2015.0,1.0,2474840407.0,6138000.0,0.21779500042065006,0.5627197854279196
5,2015.0,2.0,3111375596.0,43923000.0,0.8899202196758993,0.7081268708032655
6,2015.0,3.0,2651981596.0,12178000.0,0.4048405283871495,0.5859633687458259
7,2015.0,4.0,2910583148.0,41617000.0,0.6779010407380979,0.6992527477683166
8,2016.0,1.0,2784471480.0,28291000.0,0.5447382023437146,0.6479706300043399
9,2016.0,2.0,2803870622.0,23967000.0,0.5652219914498557,0.6313306872449646
10,2016.0,3.0,2978884035.0,30436000.0,0.7500207749547132,0.6562251807025036
11,2016.0,4.0,2807999318.0,28973000.0,0.5695815315855673,0.6505951538160637
12,2017.0,1.0,2912280871.0,8400000.0,0.8202742394401898,0.8157955335309915
13,2017.0,2.0,2705602209.0,-176500000.0,0.6298349548255363,0.17044616590003714
14,2017.0,3.0,2562244996.0,-42700000.0,0.49774175844094526,0.6374431663814957
15,2017.0,4.0,2895259444.0,-276400000.0,0.8045902382490047,-0.17823096674643304
16,2018.0,1.0,2858379432.0,17700000.0,0.7706080020863774,0.8482549662998821
17,2018.0,2.0,3347412357.0,22200000.0,1.2212161078714414,0.8639611434461195
18,2018.0,3.0,2734900097.0,-100400000.0,0.6568308177629509,0.43605507275085176
19,2018.0,4.0,2951468125.0,170600000.0,0.8563824305110839,1.3819159631131481
20,2019.0,1.0,2400027437.0,-130200000.0,0.3482701313801152,0.33204527742687967
21,2019.0,2.0,3261698580.0,49400000.0,1.142237125641046,0.9588962586411544
22,2019.0,3.0,2812620625.0,-54800000.0,0.7284446051223502,0.5952110011660574
23,2019.0,4.0,2889014247.0,-13500000.0,0.7988357455623936,0.7393588047526362
25,2020.0,2.0,4725480.0,-561200000.0,-1.8588255925469133,-1.1722574670238577
26,2020.0,3.0,126154944.0,-905800000.0,-1.7469372145618611,-2.3750016102668368
27,2020.0,4.0,193792471.0,-946100000.0,-1.684614175839149,-2.515659152265363
28,2021.0,1.0,236495603.0,-567200000.0,-1.64526636010341,-1.1931990365521743
29,2021.0,2.0,811084276.0,-344000000.0,-1.1158248842639589,-0.4141726500987993
30,2021.0,3.0,1367417382.0,-224200000.0,-0.6032045794446436,0.003960688149920748
31,2021.0,4.0,2067811192.0,-134400000.0,0.042157137310284816,0.3173861787570581
32,2022.0,1.0,1344645095.0,-337400000.0,-0.6241875778991215,-0.39113692361765107
33,2022.0,2.0,2325778439.0,-121600000.0,0.27985510524415713,0.36206152708413336
34,2022.0,3.0,1923613844.0,-226900000.0,-0.09071018208648118,-0.00546301813782169
35,2022.0,4.0,1774933958.0,-287700000.0,-0.2277078327023355,-0.21767092269142918
